x			f(x)


0			0
1			1
2			1,4142135623731
3			1,44224957030741
4			1,4142135623731
5			1,37972966146121
6			1,34800615459728
7			1,32046924775612
8			1,29683955465101
9			1,27651800700924
10			1,25892541179417
11			1,24357522791237
12			1,23007550557797
13			1,21811404356077
14			1,20744202741841
15			1,19786005826964
16			1,18920711500272
17			1,18135207462555
18			1,17418725309966
19			1,16762348369611
20			1,16158634964154
21			1,1560132810008
22			1,15085130035828
23			1,14605525822348
24			1,14158644063216
25			1,13741146175603
26			1,13350137645871
27			1,12983096390975
28			1,12637814525087
29			1,12312350709179
30			1,1200499091502
31			1,11714215925046
32			1,11438674259589
33			1,11177159504321
34			1,10928591226304
35			1,10691998833269
36			1,1046650785975
37			1,10251328264561
38			1,10045744403373
39			1,09849106402815
40			1,09660822712436
41			1,0948035365073
42			1,09307205793482
43			1,09140927078651
44			1,08981102522989
45			1,08827350462819
46			1,08679319245417
47			1,08536684309049
48			1,08399145599242
49			1,08266425276848
50			1,08138265680029
51			1,08014427507829
52			1,07894688197628
53			1,07778840472672
54			1,07666691039164
55			1,07558059415177
56			1,07452776876038
57			1,07350685502832
58			1,07251637322404
59			1,07155493528718
60			1,07062123776697
61			1,06971405540754
62			1,06883223531189
63			1,06797469162411
64			1,06714040067682
65			1,0663283965568
66			1,06553776704714
67			1,06476764990905
68			1,06401722947043
69			1,06328573349185
70			1,06257243028409
71			1,06187662605362
72			1,06119766245536
73			1,06053491433391
74			1,05988778763651
75			1,0592557174825
76			1,05863816637588
77			1,05803462254851
78			1,05744459842299
79			1,05686762918522
80			1,05630327145748
81			1,05575110206395
82			1,0552107168811
83			1,05468172976628
84			1,05416377155825
85			1,05365648914413
86			1,05315954458764
87			1,0526726143139
88			1,05219538834659
89			1,0517275695936
90			1,05126887317748
91			1,05081902580756
92			1,05037776519066
93			1,04994483947761
94			1,04952000674317
95			1,04910303449684
96			1,04869369922263
97			1,04829178594561
98			1,04789708782357
99			1,04750940576199
100			1,0471285480509
